,k,max_lr_iterations,C,scale_factor,nfeatures,nlevels,edgeThreshold,firstLevel,WTA_K,patchSize,fastThreshold,precision_score,recall_score,f1_score,accuracy_score
69,50,3,0.01,1.2,30,4,10,0,3,40,30,0.0,0.0,0.0,0.8876889848812095
70,50,3,0.01,1.2,30,4,10,1,2,10,10,0.0,0.0,0.0,0.9006479481641468
71,50,3,0.01,1.2,30,4,10,1,2,10,15,0.0,0.0,0.0,0.8927285817134629
72,50,3,0.01,1.2,30,4,10,1,2,10,20,0.0,0.0,0.0,0.8956083513318934
73,50,3,0.01,1.2,30,4,10,1,2,10,25,0.1029517638588913,1.0,0.18668407310704963,0.1029517638588913
74,50,3,0.01,1.2,30,4,10,1,2,10,30,0.10007199424046076,1.0,0.1819371727748691,0.10007199424046076
75,50,3,0.01,1.2,30,4,10,1,2,15,10,0.10727141828653708,1.0,0.19375812743823148,0.10727141828653708
76,50,3,0.01,1.2,30,4,10,1,2,15,15,0.11375089992800576,1.0,0.20426632191338076,0.11375089992800576
77,50,3,0.01,1.2,30,4,10,1,2,15,20,0.11303095752339813,1.0,0.20310478654592498,0.11303095752339813
78,50,3,0.01,1.2,30,4,10,1,2,15,25,0.0,0.0,0.0,0.8898488120950324
79,50,3,0.01,1.2,30,4,10,1,2,15,30,0.0,0.0,0.0,0.8876889848812095
80,50,3,0.01,1.2,30,4,10,1,2,20,10,0.0,0.0,0.0,0.9020878329733621
81,50,3,0.01,1.2,30,4,10,1,2,20,15,0.0,0.0,0.0,0.9006479481641468
82,50,3,0.01,1.2,30,4,10,1,2,20,20,0.0,0.0,0.0,0.8941684665226782
83,50,3,0.01,1.2,30,4,10,1,2,20,25,0.09863210943124551,1.0,0.1795543905635649,0.09863210943124551
84,50,3,0.01,1.2,30,4,10,1,2,20,30,0.11159107271418287,1.0,0.20077720207253885,0.11159107271418287
85,50,3,0.01,1.2,30,4,10,1,2,25,10,0.0,0.0,0.0,0.9035277177825773
86,50,3,0.01,1.2,30,4,10,1,2,25,15,0.0,0.0,0.0,0.8862491000719942
87,50,3,0.01,1.2,30,4,10,1,2,25,20,0.0,0.0,0.0,0.8884089272858171
88,50,3,0.01,1.2,30,4,10,1,2,25,25,0.0,0.0,0.0,0.8984881209503239
89,50,3,0.01,1.2,30,4,10,1,2,25,30,0.0,0.0,0.0,0.9071274298056156
90,50,3,0.01,1.2,30,4,10,1,2,30,10,0.0,0.0,0.0,0.8927285817134629
91,50,3,0.01,1.2,30,4,10,1,2,30,15,0.10655147588192944,1.0,0.1925829538061158,0.10655147588192944
92,50,3,0.01,1.2,30,4,10,1,2,30,20,0.10439164866810655,1.0,0.18904823989569752,0.10439164866810655
93,50,3,0.01,1.2,30,4,10,1,2,30,25,0.0,0.0,0.0,0.8912886969042476
94,50,3,0.01,1.2,30,4,10,1,2,30,30,0.08567314614830814,1.0,0.15782493368700265,0.08567314614830814
95,50,3,0.01,1.2,30,4,10,1,2,35,10,0.0,0.0,0.0,0.9013678905687545
96,50,3,0.01,1.2,30,4,10,1,2,35,15,0.0,0.0,0.0,0.8941684665226782
97,50,3,0.01,1.2,30,4,10,1,2,35,20,0.0,0.0,0.0,0.8941684665226782
98,50,3,0.01,1.2,30,4,10,1,2,35,25,0.0,0.0,0.0,0.9028077753779697
99,50,3,0.01,1.2,30,4,10,1,2,35,30,0.0,0.0,0.0,0.9071274298056156
100,50,3,0.01,1.2,30,4,10,1,2,40,10,0.0,0.0,0.0,0.8941684665226782
101,50,3,0.01,1.2,30,4,10,1,2,40,15,0.0,0.0,0.0,0.8912886969042476
102,50,3,0.01,1.2,30,4,10,1,2,40,20,0.11231101511879049,1.0,0.20194174757281552,0.11231101511879049
103,50,3,0.01,1.2,30,4,10,1,2,40,25,0.10871130309575235,1.0,0.1961038961038961,0.10871130309575235
104,50,3,0.01,1.2,30,4,10,1,2,40,30,0.09791216702663787,1.0,0.1783606557377049,0.09791216702663787
105,50,3,0.01,1.2,30,4,10,1,3,10,10,0.10727141828653708,1.0,0.19375812743823148,0.10727141828653708
106,50,3,0.01,1.2,30,4,10,1,3,10,15,0.10871130309575235,1.0,0.1961038961038961,0.10871130309575235
107,50,3,0.01,1.2,30,4,10,1,3,10,20,0.10727141828653708,1.0,0.19375812743823148,0.10727141828653708
108,50,3,0.01,1.2,30,4,10,1,3,10,25,0.10223182145428365,1.0,0.1854996734160679,0.10223182145428365
109,50,3,0.01,1.2,30,4,10,1,3,10,30,0.1029517638588913,1.0,0.18668407310704963,0.1029517638588913
110,50,3,0.01,1.2,30,4,10,1,3,15,10,0.0,0.0,0.0,0.8920086393088553
111,50,3,0.01,1.2,30,4,10,1,3,15,15,0.0,0.0,0.0,0.8970482361411087
112,50,3,0.01,1.2,30,4,10,1,3,15,20,0.1101511879049676,1.0,0.19844357976653695,0.1101511879049676
113,50,3,0.01,1.2,30,4,10,1,3,15,25,0.0,0.0,0.0,0.896328293736501
114,50,3,0.01,1.2,30,4,10,1,3,15,30,0.11231101511879049,1.0,0.20194174757281552,0.11231101511879049
115,50,3,0.01,1.2,30,4,10,1,3,20,10,0.10007199424046076,1.0,0.1819371727748691,0.10007199424046076
116,50,3,0.01,1.2,30,4,10,1,3,20,15,0.0,0.0,0.0,0.8984881209503239
117,50,3,0.01,1.2,30,4,10,1,3,20,20,0.0,0.0,0.0,0.9056875449964003
118,50,3,0.01,1.2,30,4,10,1,3,20,25,0.10727141828653708,1.0,0.19375812743823148,0.10727141828653708
119,50,3,0.01,1.2,30,4,10,1,3,20,30,0.0,0.0,0.0,0.9028077753779697
120,50,3,0.01,1.2,30,4,10,1,3,25,10,0.0,0.0,0.0,0.8884089272858171
121,50,3,0.01,1.2,30,4,10,1,3,25,15,0.0,0.0,0.0,0.8884089272858171
122,50,3,0.01,1.2,30,4,10,1,3,25,20,0.0,0.0,0.0,0.8934485241180705
123,50,3,0.01,1.2,30,4,10,1,3,25,25,0.0,0.0,0.0,0.912167026637869
124,50,3,0.01,1.2,30,4,10,1,3,25,30,0.0,0.0,0.0,0.896328293736501
125,50,3,0.01,1.2,30,4,10,1,3,30,10,0.0,0.0,0.0,0.8754499640028798
126,50,3,0.01,1.2,30,4,10,1,3,30,15,0.0,0.0,0.0,0.8840892728581713
127,50,3,0.01,1.2,30,4,10,1,3,30,20,0.0,0.0,0.0,0.884809215262779
128,50,3,0.01,1.2,30,4,10,1,3,30,25,0.0,0.0,0.0,0.8898488120950324
129,50,3,0.01,1.2,30,4,10,1,3,30,30,0.0,0.0,0.0,0.8891288696904248
130,50,3,0.01,1.2,30,4,10,1,3,35,10,0.0,0.0,0.0,0.8948884089272858
131,50,3,0.01,1.2,30,4,10,1,3,35,15,0.0,0.0,0.0,0.8934485241180705
132,50,3,0.01,1.2,30,4,10,1,3,35,20,0.0,0.0,0.0,0.904247660187185
133,50,3,0.01,1.2,30,4,10,1,3,35,25,0.0,0.0,0.0,0.89056875449964
134,50,3,0.01,1.2,30,4,10,1,3,35,30,0.0,0.0,0.0,0.8819294456443485
135,50,3,0.01,1.2,30,4,10,1,3,40,10,0.0,0.0,0.0,0.8970482361411087
136,50,3,0.01,1.2,30,4,10,1,3,40,15,0.0,0.0,0.0,0.9100071994240461
137,50,3,0.01,1.2,30,4,10,1,3,40,20,0.0,0.0,0.0,0.8855291576673866
138,50,3,0.01,1.2,30,4,10,1,3,40,25,0.0,0.0,0.0,0.8912886969042476
